AMRVAC
it   t   dt    d s1 s2 s3 tau b1 b2 b3 lfac xi c1 c2 c3 n1 n2 n3| Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
    130  5.0182E-02  4.0570E-04  5.6250E-01  4.5164E-02 -5.0182E-02  0.0000E+00  1.1750E+00  5.0000E-01  0.0000E+00  0.0000E+00  1.0109E+00  1.6657E+00  8.1250E-01  6.2500E-02  1.2500E-01      26       4      16 |   1.09E+00  1.09E+00  1.81E+05  1.15E+01  3.76E+00  3.65E-04
    140  5.4240E-02  4.0573E-04  5.6250E-01  4.8816E-02 -5.4240E-02  0.0000E+00  1.1750E+00  5.0000E-01  5.5511E-17  0.0000E+00  1.0118E+00  1.6658E+00  8.1250E-01  6.2500E-02  1.2500E-01      26       4      16 |   1.09E+00  1.09E+00  1.81E+05  1.15E+01  3.75E+00  3.61E-04
    150  5.8297E-02  4.0576E-04  5.6250E-01  5.2467E-02 -5.8297E-02  0.0000E+00  1.1750E+00  5.0000E-01  5.5511E-17  0.0000E+00  1.0126E+00  1.6660E+00  8.1250E-01  4.6875E-02  1.4062E-01      26       3      18 |   1.09E+00  1.09E+00  1.84E+05  1.18E+01  3.78E+00  3.59E-04
    160  6.2355E-02  4.0579E-04  5.6250E-01  5.6119E-02 -6.2355E-02  0.0000E+00  1.1750E+00  5.0000E-01  5.5511E-17  0.0000E+00  1.0135E+00  1.6661E+00  8.1250E-01  4.6875E-02  1.4062E-01      26       3      18 |   1.09E+00  1.09E+00  1.84E+05  1.18E+01  3.77E+00  3.54E-04
    170  6.6413E-02  4.0581E-04  5.6250E-01  5.9772E-02 -6.6413E-02  0.0000E+00  1.1750E+00  5.0000E-01  6.9389E-17  0.0000E+00  1.0144E+00  1.6662E+00  8.1250E-01  3.1250E-02  1.5625E-01      26       2      20 |   1.00E+00  1.00E+00  1.85E+05  1.20E+01  3.84E+00  3.56E-04
    180  7.0471E-02  4.0584E-04  5.6250E-01  6.3424E-02 -7.0471E-02  0.0000E+00  1.1750E+00  5.0000E-01  1.3878E-17  0.0000E+00  1.0153E+00  1.6663E+00  8.1250E-01  3.1250E-02  1.5625E-01      26       2      20 |   1.00E+00  1.00E+00  1.88E+05  1.20E+01  3.78E+00  3.46E-04
    190  7.4530E-02  4.0586E-04  5.6250E-01  6.7077E-02 -7.4530E-02  0.0000E+00  1.1750E+00  5.0000E-01  1.2490E-16  0.0000E+00  1.0162E+00  1.6665E+00  7.8125E-01  4.6875E-02  1.7188E-01      25       3      22 |   1.08E+00  1.08E+00  1.92E+05  1.25E+01  3.84E+00  3.48E-04
    200  7.8588E-02  4.0588E-04  5.6250E-01  7.0730E-02 -7.8588E-02  0.0000E+00  1.1750E+00  5.0000E-01  1.3878E-16  0.0000E+00  1.0171E+00  1.6666E+00  7.8125E-01  4.6875E-02  1.7188E-01      25       3      22 |   1.08E+00  1.08E+00  1.85E+05  1.25E+01  4.01E+00  3.58E-04
    210  8.2647E-02  4.0590E-04  5.6250E-01  7.4383E-02 -8.2647E-02  0.0000E+00  1.1750E+00  5.0000E-01  6.9389E-17  0.0000E+00  1.0180E+00  1.6667E+00  7.8125E-01  4.6875E-02  1.7188E-01      25       3      22 |   1.08E+00  1.08E+00  1.82E+05  1.25E+01  4.07E+00  3.59E-04
    220  8.6706E-02  4.0592E-04  5.6250E-01  7.8036E-02 -8.6706E-02  0.0000E+00  1.1750E+00  5.0000E-01  1.2490E-16  0.0000E+00  1.0188E+00  1.6668E+00  7.5000E-01  6.2500E-02  1.8750E-01      24       4      24 |   1.00E+00  1.00E+00  1.93E+05  1.30E+01  3.98E+00  3.46E-04
