AMRVAC
it   t   dt    d s1 s2 s3 tau b1 b2 b3 lfac xi c1 c2 c3 n1 n2 n3| Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
    760  3.0604E-01  4.0633E-04  5.6250E-01  2.7545E-01 -3.0604E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.3323E-15  0.0000E+00  1.0669E+00  1.6729E+00  4.6875E-01  2.3438E-01  2.9688E-01      15      15      38 |   1.00E+00  1.00E+00  1.89E+05  1.70E+01  5.32E+00  1.39E-04
    770  3.1011E-01  4.0633E-04  5.6250E-01  2.7910E-01 -3.1011E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.3323E-15  0.0000E+00  1.0678E+00  1.6730E+00  4.6875E-01  3.1250E-01  2.1875E-01      15      20      28 |   1.07E+00  1.07E+00  1.76E+05  1.58E+01  5.29E+00  1.32E-04
    780  3.1417E-01  4.0634E-04  5.6250E-01  2.8276E-01 -3.1417E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.2768E-15  0.0000E+00  1.0687E+00  1.6731E+00  4.6875E-01  3.1250E-01  2.1875E-01      15      20      28 |   1.07E+00  1.07E+00  1.83E+05  1.58E+01  5.09E+00  1.21E-04
    790  3.1823E-01  4.0634E-04  5.6250E-01  2.8642E-01 -3.1823E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.4988E-15  0.0000E+00  1.0696E+00  1.6732E+00  4.6875E-01  2.9688E-01  2.3438E-01      15      19      30 |   1.00E+00  1.00E+00  1.81E+05  1.60E+01  5.22E+00  1.19E-04
    800  3.2230E-01  4.0635E-04  5.6250E-01  2.9007E-01 -3.2230E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.4155E-15  0.0000E+00  1.0705E+00  1.6733E+00  4.6875E-01  2.9688E-01  2.3438E-01      15      19      30 |   1.00E+00  1.00E+00  1.86E+05  1.60E+01  5.07E+00  1.09E-04
    810  3.2636E-01  4.0635E-04  5.6250E-01  2.9373E-01 -3.2636E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.4710E-15  0.0000E+00  1.0714E+00  1.6734E+00  4.6875E-01  3.1250E-01  2.1875E-01      15      20      28 |   1.07E+00  1.07E+00  1.83E+05  1.58E+01  5.09E+00  1.04E-04
    820  3.3042E-01  4.0635E-04  5.6250E-01  2.9739E-01 -3.3042E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.6098E-15  0.0000E+00  1.0723E+00  1.6735E+00  4.6875E-01  3.1250E-01  2.1875E-01      15      20      28 |   1.07E+00  1.07E+00  1.82E+05  1.58E+01  5.12E+00  9.90E-05
    830  3.3449E-01  4.0636E-04  5.6250E-01  3.0105E-01 -3.3449E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.4710E-15  0.0000E+00  1.0732E+00  1.6736E+00  4.6875E-01  3.1250E-01  2.1875E-01      15      20      28 |   1.07E+00  1.07E+00  1.84E+05  1.58E+01  5.06E+00  9.20E-05
    840  3.3855E-01  4.0636E-04  5.6250E-01  3.0470E-01 -3.3855E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.6098E-15  0.0000E+00  1.0740E+00  1.6737E+00  4.3750E-01  3.2812E-01  2.3438E-01      14      21      30 |   1.06E+00  1.06E+00  1.89E+05  1.62E+01  5.07E+00  8.65E-05
    850  3.4261E-01  4.0636E-04  5.6250E-01  3.0836E-01 -3.4262E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.7208E-15  0.0000E+00  1.0749E+00  1.6739E+00  4.3750E-01  3.4375E-01  2.1875E-01      14      22      28 |   1.00E+00  1.00E+00  1.85E+05  1.60E+01  5.10E+00  8.13E-05
    860  3.4668E-01  4.0636E-04  5.6250E-01  3.1202E-01 -3.4668E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.7208E-15  0.0000E+00  1.0758E+00  1.6740E+00  4.3750E-01  3.5938E-01  2.0312E-01      14      23      26 |   1.07E+00  1.07E+00  1.84E+05  1.58E+01  5.06E+00  7.50E-05
    870  3.5074E-01  4.0637E-04  5.6250E-01  3.1568E-01 -3.5074E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.7486E-15  0.0000E+00  1.0767E+00  1.6741E+00  4.6875E-01  2.9688E-01  2.3438E-01      15      19      30 |   1.00E+00  1.00E+00  1.84E+05  1.60E+01  5.12E+00  7.01E-05
    880  3.5481E-01  4.0637E-04  5.6250E-01  3.1933E-01 -3.5481E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.8596E-15  0.0000E+00  1.0776E+00  1.6742E+00  5.0000E-01  2.3438E-01  2.6562E-01      16      15      34 |   1.06E+00  1.06E+00  1.88E+05  1.62E+01  5.11E+00  6.41E-05
    890  3.5887E-01  4.0637E-04  5.6250E-01  3.2299E-01 -3.5887E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.8041E-15  0.0000E+00  1.0785E+00  1.6743E+00  5.0000E-01  2.6562E-01  2.3438E-01      16      17      30 |   1.07E+00  1.07E+00  1.83E+05  1.58E+01  5.08E+00  5.80E-05
    900  3.6293E-01  4.0638E-04  5.6250E-01  3.2665E-01 -3.6293E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.7486E-15  0.0000E+00  1.0794E+00  1.6744E+00  5.3125E-01  2.5000E-01  2.1875E-01      17      16      28 |   1.07E+00  1.07E+00  1.76E+05  1.52E+01  5.12E+00  5.27E-05
    910  3.6700E-01  4.0638E-04  5.6250E-01  3.3031E-01 -3.6700E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.6931E-15  0.0000E+00  1.0803E+00  1.6745E+00  5.0000E-01  2.8125E-01  2.1875E-01      16      18      28 |   1.07E+00  1.07E+00  1.84E+05  1.55E+01  4.97E+00  4.56E-05
    920  3.7106E-01  4.0638E-04  5.6250E-01  3.3396E-01 -3.7106E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.5821E-15  0.0000E+00  1.0812E+00  1.6746E+00  5.0000E-01  2.8125E-01  2.1875E-01      16      18      28 |   1.07E+00  1.07E+00  1.81E+05  1.55E+01  5.07E+00  4.07E-05
    930  3.7512E-01  4.0639E-04  5.6250E-01  3.3762E-01 -3.7513E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.1657E-15  0.0000E+00  1.0821E+00  1.6747E+00  5.0000E-01  2.8125E-01  2.1875E-01      16      18      28 |   1.07E+00  1.07E+00  1.76E+05  1.55E+01  5.21E+00  3.60E-05
    940  3.7919E-01  4.0639E-04  5.6250E-01  3.4128E-01 -3.7919E-01  0.0000E+00  1.1750E+00  5.0000E-01  3.7470E-16  0.0000E+00  1.0830E+00  1.6748E+00  5.0000E-01  2.6562E-01  2.3438E-01      16      17      30 |   1.07E+00  1.07E+00  1.83E+05  1.58E+01  5.09E+00  2.94E-05
    950  3.8325E-01  4.0639E-04  5.6250E-01  3.4494E-01 -3.8325E-01  0.0000E+00  1.1750E+00  5.0000E-01 -1.2768E-15  0.0000E+00  1.0838E+00  1.6749E+00  5.3125E-01  2.6562E-01  2.0312E-01      17      17      26 |   1.00E+00  1.00E+00  1.78E+05  1.50E+01  4.97E+00  2.31E-05
    960  3.8732E-01  4.0639E-04  5.6250E-01  3.4859E-01 -3.8732E-01  0.0000E+00  1.1750E+00  5.0000E-01 -4.7462E-15  0.0000E+00  1.0847E+00  1.6750E+00  5.3125E-01  2.6562E-01  2.0312E-01      17      17      26 |   1.00E+00  1.00E+00  1.85E+05  1.50E+01  4.80E+00  1.69E-05
    970  3.9138E-01  4.0640E-04  5.6250E-01  3.5225E-01 -3.9138E-01  0.0000E+00  1.1750E+00  5.0000E-01 -1.1588E-14  0.0000E+00  1.0856E+00  1.6752E+00  5.3125E-01  2.5000E-01  2.1875E-01      17      16      28 |   1.07E+00  1.07E+00  1.82E+05  1.52E+01  4.94E+00  1.18E-05
    980  3.9544E-01  4.0640E-04  5.6250E-01  3.5591E-01 -3.9545E-01  0.0000E+00  1.1750E+00  5.0000E-01 -2.4897E-14  0.0000E+00  1.0865E+00  1.6753E+00  5.3125E-01  2.5000E-01  2.1875E-01      17      16      28 |   1.07E+00  1.07E+00  1.83E+05  1.52E+01  4.91E+00  6.22E-06
    990  3.9951E-01  4.0640E-04  5.6250E-01  3.5957E-01 -3.9951E-01  0.0000E+00  1.1750E+00  5.0000E-01 -5.0321E-14  0.0000E+00  1.0874E+00  1.6754E+00  5.0000E-01  2.9688E-01  2.0312E-01      16      19      26 |   1.07E+00  1.07E+00  1.81E+05  1.52E+01  4.99E+00  6.82E-07
    992  4.0000E-01  0.0000E+00  5.6250E-01  3.6001E-01 -4.0000E-01  0.0000E+00  1.1750E+00  5.0000E-01 -5.4567E-14  0.0000E+00  1.0875E+00  1.6754E+00  5.0000E-01  2.9688E-01  2.0312E-01      16      19      26 |   1.07E+00  1.07E+00  1.41E+04  1.52E+01  0.00E+00  0.00E+00
